Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HL_CS16_43.trim_1P	HL_CS16_43.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	385885.0	0.0	36-100	41.0	22.420410225844485	98.61309975769983	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
HL_CS16_43.trim_1U	HL_CS16_43.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19706.0	0.0	36-100	43.0	67.46168679589972	85.56074292093778	pass	pass	warn	pass	warn	fail	pass	warn	warn	fail	pass
HL_CS16_43.trim_2P	HL_CS16_43.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	385885.0	0.0	36-100	41.0	24.731202301203727	97.03350480065305	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
HL_CS16_43.trim_2U	HL_CS16_43.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1677.0	0.0	36-100	41.0	92.4865831842576	78.2015503875969	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
HL_CS16_49.trim_1P	HL_CS16_49.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	360749.0	0.0	36-100	41.0	32.95372015542392	98.54211099684268	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
HL_CS16_49.trim_1U	HL_CS16_49.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16778.0	0.0	36-100	43.0	76.37382286327333	85.10990582906187	pass	pass	warn	pass	fail	warn	pass	warn	pass	fail	pass
HL_CS16_49.trim_2P	HL_CS16_49.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	360749.0	0.0	36-100	41.0	35.62091198094765	97.24179415604756	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
HL_CS16_49.trim_2U	HL_CS16_49.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1657.0	0.0	36-100	41.0	92.3958961979481	79.81412190706095	pass	pass	fail	pass	warn	warn	pass	warn	pass	warn	pass
HL_CS17_33.trim_1P	HL_CS17_33.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	370718.0	0.0	36-100	41.0	34.68436222204422	98.52483019437956	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
HL_CS17_33.trim_1U	HL_CS17_33.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17148.0	0.0	36-100	43.0	76.61534872871472	84.96477723349662	pass	pass	warn	pass	warn	warn	pass	warn	pass	fail	pass
HL_CS17_33.trim_2P	HL_CS17_33.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	370718.0	0.0	36-100	41.0	37.1561302861274	97.33678968919772	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
HL_CS17_33.trim_2U	HL_CS17_33.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1685.0	0.0	36-100	41.0	93.23442136498517	80.60178041543027	pass	pass	fail	pass	warn	fail	pass	warn	pass	warn	pass
HL_CS17_42.trim_1P	HL_CS17_42.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206780.0	0.0	36-100	41.0	19.29635361253506	98.63038011413096	pass	pass	warn	pass	warn	warn	pass	warn	fail	fail	pass
HL_CS17_42.trim_1U	HL_CS17_42.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11560.0	0.0	36-100	41.0	63.01903114186851	87.530276816609	pass	pass	warn	pass	warn	fail	pass	warn	warn	fail	pass
HL_CS17_42.trim_2P	HL_CS17_42.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206780.0	0.0	36-100	40.0	21.730825031434374	95.63042847470741	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HL_CS17_42.trim_2U	HL_CS17_42.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	807.0	0.0	36-100	41.0	90.33457249070632	79.71251548946717	pass	pass	fail	pass	warn	warn	pass	warn	pass	fail	pass
